Territorio,Età,Sesso,Causa iniziale di morte - European Short List
Centro,60-64 anni,maschi,di cui infarto miocardico acuto
Centro,45-49 anni,femmine,di cui tumori maligni del rene
Centro,50-54 anni,maschi,di cui cadute accidentali
Centro,10-14 anni,maschi,di cui leucemia
Centro,55-59 anni,maschi,di cui tumori maligni del pancreas
Centro,75-79 anni,totale,"malattie endocrine, nutrizionali e metaboliche"
Centro,totale,femmine,alcune malattie infettive e parassitarie
Centro,25-29 anni,maschi,altri disturbi psichici e comportamentali
Centro,55-59 anni,femmine,malattia di alzheimer
Centro,95 anni e più,maschi,malattia di alzheimer
Centro,50-54 anni,totale,cause sconosciute e non specificate
Centro,70-74 anni,totale,totale
Centro,80-84 anni,totale,altre cause esterne di traumatismo e avvelenamento
Centro,90-94 anni,femmine,cause esterne di traumatismo e avvelenamento
Centro,55-59 anni,totale,di cui tumori maligni del cervello e del sistema nervoso centrale
Centro,55-59 anni,totale,"di cui tumori maligni del colon, del retto e dell'ano"
Centro,40-44 anni,totale,di cui cadute accidentali
Centro,45-49 anni,maschi,di cui tumori maligni del pancreas
Centro,0 anni,maschi,malformazioni congenite ed anomalie cromosomiche
Centro,55-59 anni,totale,altre malattie dell'apparato genitourinario
Centro,35-39 anni,totale,totale
Centro,totale,femmine,di cui tumori maligni della tiroide
Centro,85-89 anni,maschi,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,totale,totale,"Covid-19, altro"
Centro,50-54 anni,femmine,di cui tumori maligni della vescica
Centro,60-64 anni,maschi,altre malattie del sistema respiratorio
Centro,20-24 anni,totale,accidenti
Centro,75-79 anni,femmine,malattie dell'apparato digerente
Centro,0 anni,maschi,malattie del sistema nervoso e degli organi di senso
Centro,totale,maschi,"malattie endocrine, nutrizionali e metaboliche"
Centro,65-69 anni,totale,malattie del sistema osteomuscolare e del tessuto connettivo
Centro,65-69 anni,femmine,di cui altri tumori maligni del tessuto linfatico/ematopoietico
Centro,65-69 anni,maschi,disturbi psichici e comportamentali
Centro,95 anni e più,totale,di cui altri tumori maligni
Centro,80-84 anni,maschi,malattie ischemiche del cuore
Centro,75-79 anni,femmine,di cui melanomi maligni della cute
Centro,45-49 anni,femmine,"di cui tumori maligni della trachea, dei bronchi e dei polmoni"
Centro,95 anni e più,maschi,di cui tumori maligni del rene
